job_id,skill_name,category,taxonomy,confidence_score
5803994280,Logistics Management,Domain,Logistics,0.7
5803994282,Warehouse Operations,Domain,Engineering & Operations,1.0
5803994282,Parcel Handling,Technical,Logistics,1.0
5803994282,Inventory Management,Technical,Logistics,0.7
5803994282,Logistics Coordination,Technical,Logistics,0.7
5803994282,Time Management,Soft Skill,Delivery Methods,0.5
5803994278,Warehouse Operations,Domain,Engineering & Operations,1.0
5803994278,Parcel Handling,Technical,Logistics,1.0
5803994278,Scanning and Sorting,Technical,Engineering & Operations,1.0
5803994278,Logistics Management,Domain,Logistics,0.7
5803994274,Transport Management,Technical,Logistics,1.0
5803994274,Warehouse Management,Technical,Management,1.0
5803994274,Inventory Control,Technical,Engineering & Operations,1.0
5803994274,Vehicle Maintenance,Domain,Automotive,1.0
5803994274,Health and Safety Management,Technical,Engineering & Operations,1.0
5803994274,Compliance Management,Business,Management,1.0
5803994274,Team Leadership,Business,Leadership Behaviour,1.0
5803994274,Logistics Operations,Domain,Automotive,1.0
5803994273,Hotel Services,Domain,Stakeholder & Customer,1.0
5803994273,Customer Service,Soft Skill,Stakeholder & Customer,0.7
5803994273,Housekeeping,Domain,HR & People,1.0
5803994270,Care Planning,Domain,Healthcare,0.7
5803994270,Dementia Care,Domain,Healthcare,0.7
5803994270,Nursing Care,Domain,Healthcare,0.7
5803994270,Residential Care,Domain,Healthcare,0.7
5803994270,PVG,Technical,HR & People,1.0
5803994271,Care Giving,Domain,Healthcare,1.0
5803994271,Personal Assistance,Domain,HR & People,1.0
5803994269,Care Experience,Domain,Healthcare,0.7
5803994269,Disability Support,Domain,Healthcare,0.7
5803994269,Home Care,Domain,Healthcare,0.7
5803994268,Care Support,Domain,Healthcare,1.0
5803994268,Training Participation,Soft Skill,Delivery Methods,0.7
5803994267,SAP Payroll,Technical,Tools & Software,1.0
5803994267,SAP HCM,Technical,Tools & Software,1.0
5803994267,System Integration,Technical,IT & Systems,0.7
5803994267,Project Management,Business,Management,0.7
5803994267,Stakeholder Management,Business,Stakeholder & Customer,0.7
5803994267,Payroll Processing,Domain,Engineering & Operations,0.7
5803994267,HR Systems,Domain,HR & People,0.7
5803994264,Cloud Computing,Technical,IT & Systems,1.0
5803994264,Cyber Security,Technical,IT & Systems,1.0
5803994264,Digital Transformation,Domain,Tools & Software,1.0
5803994264,IT Service Management,Technical,IT & Systems,0.7
5803994263,Audiovisual Systems,Domain,IT & Systems,1.0
5803994263,Remote Technical Support,Technical,IT & Systems,1.0
5803994263,Helpdesk Operations,Technical,Engineering & Operations,1.0
5803994263,VNOC Engineering,Technical,Engineering & Operations,1.0
5803994263,Shift Pattern Management,Business,Management,0.7
5803994254,HGV Driving,Technical,Logistics,1.0
5803994254,Pallet Network Operation,Domain,Engineering & Operations,1.0
5803994254,Multi-Drop Delivery,Technical,Delivery Methods,1.0
5803994254,Customer Service,Soft Skill,Stakeholder & Customer,0.7
5803994249,Order Picking,Technical,Logistics,1.0
5803994249,Packing,Technical,Logistics,1.0
5803994249,Inventory Management,Technical,Logistics,0.7
5803994249,Health and Safety Procedures,Domain,Engineering & Operations,1.0
5803994249,Time Management,Soft Skill,Delivery Methods,0.7
5803994249,Warehouse Operations,Domain,Engineering & Operations,0.7
5803994252,Forklift Operation,Technical,Engineering & Operations,1.0
5803994252,Pallet Network Management,Domain,HR & People,1.0
5803994252,Freight Handling,Technical,Automotive,1.0
5803994252,Record Keeping,Business,Engineering & Operations,1.0
5803994247,FLT Operation,Technical,Engineering & Operations,1.0
5803994247,Counterbalance Forklift Operation,Technical,Engineering & Operations,1.0
5803994247,Warehouse Operations,Domain,Engineering & Operations,1.0
5803994247,Automotive Industry Knowledge,Domain,Automotive,1.0
5803994247,Shift Work Management,Business,HR & People,0.7
5803994247,Time Management,Soft Skill,Delivery Methods,0.5
5803994248,Voice Picking,Technical,Logistics,1.0
5803994248,Warehouse Management,Technical,Management,1.0
5803994248,Headset System Operation,Technical,Engineering & Operations,1.0
5803994251,Quality Control,Technical,Engineering & Operations,1.0
5803994251,Inventory Management,Technical,Logistics,1.0
5803994251,Manufacturing Processes,Domain,Engineering & Operations,1.0
5803994251,Production Monitoring,Technical,Engineering & Operations,1.0
5803994251,Warehouse Operations,Domain,Engineering & Operations,1.0
5803994253,HGV Class 1 Driving,Technical,Logistics,1.0
5803994253,CAT CE Certification,Technical,Tools & Software,1.0
5803994253,Logistics Operations,Domain,Automotive,0.7
5803994253,Shift Management,Business,Management,0.7
5803994244,Offshore Operations,Domain,Engineering & Operations,1.0
5803994244,Marine Operations Management,Business,HR & People,0.7
5803994244,Renewable Energy,Domain,Energy,1.0
5803994244,Vessel Operations,Technical,Engineering & Operations,1.0
5803994244,Crew Management,Business,HR & People,0.7
5803994239,Offshore Operations,Domain,Engineering & Operations,1.0
5803994239,Marine Operations Management,Business,HR & People,0.7
5803994239,Crew Transfer Vessel Operations,Technical,Engineering & Operations,1.0
5803994239,Renewable Energy Sector Knowledge,Domain,Energy,1.0
5803994239,Vessel Management,Technical,Energy,0.7
5803994242,Leadership,Soft Skill,Leadership Behaviour,0.7
5803994242,Commercial Awareness,Business,Commercial,0.9
5803994243,Financial Planning,Business,Commercial,1.0
5803994243,Forecasting,Technical,Data & Analytics,1.0
5803994243,Budgeting,Business,Commercial,1.0
5803994243,Cost Allocation,Business,Commercial,1.0
5803994243,Stakeholder Management,Business,Stakeholder & Customer,1.0
5803994243,Network Management,Technical,Engineering & Operations,1.0
5803994245,NetDocuments Administration,Technical,Tools & Software,1.0
5803994245,Document Management,Technical,Engineering & Operations,1.0
5803994245,File Transfer Management,Technical,IT & Systems,1.0
5803994245,Content Governance,Business,Tools & Software,1.0
5803994245,Information Security,Technical,IT & Systems,0.7
5803994241,Offshore Operations,Domain,Engineering & Operations,1.0
5803994241,Marine Operations Management,Business,HR & People,0.9
5803994241,Crew Transfer Vessel Operations,Technical,Engineering & Operations,1.0
5803994241,Renewable Energy Sector Knowledge,Domain,Energy,1.0
5803994241,Vessel Management,Technical,Energy,0.9
5803994240,Offshore Operations,Domain,Engineering & Operations,1.0
5803994240,Marine Operations Management,Business,HR & People,0.7
5803994240,Renewable Energy,Domain,Energy,1.0
5803994240,Vessel Operations,Technical,Engineering & Operations,1.0
5803994240,Crew Management,Business,HR & People,0.7
5803994238,Housing Management,Domain,HR & People,1.0
5803994238,Social Support Services,Domain,Healthcare,1.0
5803994238,Contract Management,Business,Management,0.7
5804004335,Data Analysis,Technical,Data & Analytics,0.5
5804004335,Time Management,Soft Skill,Delivery Methods,0.7
5804004335,Higher Education,Domain,Education,1.0
5804004335,Funding Management,Business,Commercial,0.7
5803994246,Tramping,Domain,Logistics,1.0
5803994246,Day driving,Domain,Logistics,1.0
5803994246,Vehicle operation,Technical,Logistics,0.7
